//Output time: 2026-05-11-17-30
//Input table: Item
//Author: @rjbayue
//Channel: @byrj6

//If you delete the above information, may your whole family die a horrible death.
//May your parents get their heads crushed by a truck tire when they go out.
//May your girlfriend get pregnant after being raped by a beggar.

BPID | ItemID | Name | Type | Quality
30004 | 34750000 | Lone Wolf | Achievement Avatar | Blue
30005 | 35750000 | Death Racer | Achievement Avatar | Blue
30006 | 36750000 | Trendy | Achievement Avatar | Green
30007 | 37750000 | Social Butterfly | Achievement Avatar | Green
30008 | 38750000 | Terminator | Achievement Avatar | Purple
30009 | 39750000 | Grenadier | Achievement Avatar | Green
30010 | 3a750000 | Dream Partner | Achievement Avatar | Green
30011 | 3b750000 | Top 10 Regular | Achievement Avatar | Purple
30012 | 3c750000 | Healer | Achievement Avatar | Green
30013 | 3d750000 | Elite Squad | Achievement Avatar | Blue
30014 | 3e750000 | Conqueror | Achievement Avatar | Red
30015 | 3f750000 | Climber | Achievement Avatar | Blue
30016 | 40750000 | Royale Pass Medal (S2) | Achievement Avatar | Purple
30017 | 41750000 | Sniper | Achievement Avatar | Purple
30018 | 42750000 | Camper | Achievement Avatar | Purple
30019 | 43750000 | Chicken Glory Avatar | Achievement Avatar | Pink
30020 | 44750000 | 100 Eliminations | Achievement Avatar | Blue
30021 | 45750000 | Domination | Achievement Avatar | Purple
30022 | 46750000 | Billionaire | Achievement Avatar | Pink
30023 | 47750000 | Baseball Uniform Avatar | Achievement Avatar | Purple
30024 | 48750000 | Reaper Avatar | Achievement Avatar | Pink
30025 | 49750000 | Pink Ribbon | Achievement Avatar | Purple
30026 | 4a750000 | White Tiger | Achievement Avatar | Pink
30027 | 4b750000 | Skateboarder | Achievement Avatar | Purple
30028 | 4c750000 | Bald Eagle | Achievement Avatar | Pink
30029 | 4d750000 | Driver | Achievement Avatar | Purple
30030 | 4e750000 | Hippies | Achievement Avatar | Purple
30031 | 4f750000 | Double Carp | Achievement Avatar | Pink
30037 | 55750000 | PMSC Star Exclusive | Achievement Avatar | Purple
30039 | 57750000 | Ice Pan | Achievement Avatar | Purple
30042 | 5a750000 | Pumpkin Bomb | Achievement Avatar | Pink
30044 | 5c750000 | Bear | Achievement Avatar | Purple
30051 | 63750000 | Robot | Achievement Avatar | Purple
30052 | 64750000 | Resident Evil 2 | Achievement Avatar | Purple
30053 | 65750000 | 1-Year | Achievement Avatar | Pink
30054 | 66750000 | Noble | Achievement Avatar | Pink
30055 | 67750000 | Royale Pass Avatar (S5) | Achievement Avatar | Purple
30056 | 68750000 | Roaring Dragon Avatar (S5) | Achievement Avatar | Pink
30057 | 69750000 | April Fools Avatar | Achievement Avatar | Purple
30058 | 6a750000 | Royale Pass Avatar (S6) | Achievement Avatar | Purple
30059 | 6b750000 | Anniversary Avatar (S6) | Achievement Avatar | Pink
30060 | 6c750000 | The Fool | Achievement Avatar | Pink
30062 | 6e750000 | Royale Pass Avatar (S7) | Achievement Avatar | Purple
30063 | 6f750000 | Military Operation Avatar (S7) | Achievement Avatar | Pink
30064 | 70750000 | Godzilla Avatar | Achievement Avatar | Pink
30065 | 71750000 | Ghidorah Avatar | Achievement Avatar | Pink
30066 | 72750000 | Rodan Avatar | Achievement Avatar | Purple
30067 | 73750000 | Mothra Avatar | Achievement Avatar | Purple
30068 | 74750000 | PMCO Exclusive Avatar | Achievement Avatar | Purple
30069 | 75750000 | Alan Walker Avatar | Achievement Avatar | Purple
30070 | 76750000 | Royale Pass Avatar (S8) | Achievement Avatar | Purple
30071 | 77750000 | Ocean Treasure Avatar (S8) | Achievement Avatar | Pink
30072 | 78750000 | Camel Avatar | Achievement Avatar | Purple
30073 | 79750000 | Pirate Avatar | Achievement Avatar | Purple
30074 | 7a750000 | Santa Claus Avatar | Achievement Avatar | Purple
30075 | 7b750000 | Mythic Fashion | Achievement Avatar | Purple
30076 | 7c750000 | Royale Pass Avatar (S9) | Achievement Avatar | Purple
30077 | 7d750000 | Stronghold Protector Avatar (S9) | Achievement Avatar | Pink
30078 | 7e750000 | Victor Avatar | Achievement Avatar | Purple
30079 | 7f750000 | Victor Frame | Avatar Frame | Purple
30080 | 80750000 | Royale Pass Avatar (S10) | Achievement Avatar | Purple
30081 | 81750000 | Roaring Magma Avatar (S10) | Achievement Avatar | Pink
30082 | 82750000 | Falcon Avatar | Achievement Avatar | Pink
30083 | 83750000 | Marshal Avatar | Achievement Avatar | Purple
30084 | 84750000 | Royale Pass Avatar (S11) | Achievement Avatar | Purple
30085 | 85750000 | Elite Agent Avatar (S11) | Achievement Avatar | Pink
30086 | 86750000 | Year of the Rat Avatar | Achievement Avatar | Purple
30087 | 87750000 | Royale Pass Avatar (S12) | Achievement Avatar | Purple
30088 | 88750000 | Anniversary Revelry Avatar (S12) | Achievement Avatar | Pink
30089 | 89750000 | 2nd Anniversary Avatar | Achievement Avatar | Pink
30090 | 8a750000 | Graffiti Master Frame | Avatar Frame | Purple
30091 | 8b750000 | Envoy of Death Avatar | Achievement Avatar | Pink
30092 | 8c750000 | Armored Hunter Frame | Avatar Frame | Pink
30093 | 8d750000 | Arctic Witch Avatar | Achievement Avatar | Pink
30094 | 8e750000 | Steel Soldier Frame | Avatar Frame | Purple
30095 | 8f750000 | Field Commander Frame | Avatar Frame | Purple
30096 | 90750000 | Operation Tomorrow Avatar | Achievement Avatar | Pink
30097 | 91750000 | Rhythm Rider Avatar | Achievement Avatar | Pink
30098 | 92750000 | Hearts and Spades Frame | Avatar Frame | Purple
30099 | 93750000 | Royale Pass Avatar (S13) | Achievement Avatar | Purple
30100 | 94750000 | Ultra Defender Avatar (S13) | Achievement Avatar | Pink
30101 | 95750000 | Newborn Chicken | Achievement Avatar | Purple
30102 | 96750000 | Cool Chicken | Achievement Avatar | Purple
30103 | 97750000 | Fighting Chicken | Achievement Avatar | Purple
30104 | 98750000 | Roast Chicken | Achievement Avatar | Purple
30105 | 99750000 | Infatuated | Achievement Avatar | Purple
30106 | 9a750000 | Shocked | Achievement Avatar | Purple
30107 | 9b750000 | Dizzy | Achievement Avatar | Purple
30108 | 9c750000 | Sidelong Glance | Achievement Avatar | Purple
30109 | 9d750000 | Lamp | Achievement Avatar | Pink
30110 | 9e750000 | Lieutenant Parsec Avatar | Achievement Avatar | Pink
30111 | 9f750000 | Wasteland Survivor Frame | Avatar Frame | Purple
30112 | a0750000 | Bloodhawk Warrior Frame | Avatar Frame | Purple
30113 | a1750000 | Royale Pass Avatar (S14) | Achievement Avatar | Purple
30114 | a2750000 | Avian Tyrant Avatar (S14) | Achievement Avatar | Pink
30115 | a3750000 | Pharaoh Avatar | Achievement Avatar | Pink
30116 | a4750000 | Dino Park Frame | Avatar Frame | Purple
30117 | a5750000 | Anubian Magistrate Frame | Avatar Frame | Purple
30118 | a6750000 | Challenge Elite Frame | Avatar Frame | Purple
30119 | a7750000 | PMPL 2021 Frame | Avatar Frame | Purple
30120 | a8750000 | Royale Pass Avatar (S15) | Achievement Avatar | Purple
30121 | a9750000 | Warrior Ops Avatar (S15) | Achievement Avatar | Pink
30122 | aa750000 | Fright Night Frame | Avatar Frame | Purple
30123 | ab750000 | Black Racecar Knight Frame | Avatar Frame | Purple
30124 | ac750000 | Red, White & Blue Avatar | Achievement Avatar | Pink
30125 | ad750000 | Squirrel Frame | Avatar Frame | Purple
30126 | ae750000 | Royale Pass Avatar (S16) | Achievement Avatar | Purple
30127 | af750000 | Night Terror Avatar (S16) | Achievement Avatar | Pink
30128 | b0750000 | Vintage Train Frame | Avatar Frame | Purple
30129 | b1750000 | 2021 New Year Frame | Avatar Frame | Purple
30130 | b2750000 | Luxurious Avatar Frame | Avatar Frame | Purple
30131 | b3750000 | Budget Mecha Avatar | Achievement Avatar | Pink
30132 | b4750000 | Furnace Man Avatar | Achievement Avatar | Pink
30133 | b5750000 | Royale Pass Avatar (S17) | Achievement Avatar | Purple
30134 | b6750000 | Guardian Armor Avatar (S17) | Achievement Avatar | Pink
30135 | b7750000 | Royale Pass Avatar (S18) | Achievement Avatar | Purple
30136 | b8750000 | String Ensemble Avatar (S18) | Achievement Avatar | Pink
30137 | b9750000 | Royale Pass Avatar (S19) | Achievement Avatar | Purple
30138 | ba750000 | General Beetle Avatar (S19) | Achievement Avatar | Pink
30139 | bb750000 | Royale Pass Avatar (S20) | Achievement Avatar | Purple
30141 | bd750000 | PMGC 2020 Frame | Avatar Frame | Purple
30142 | be750000 | Pitapat Frame | Avatar Frame | Purple
30143 | bf750000 | Eerie Doll Avatar Frame | Avatar Frame | Purple
30144 | c0750000 | Legendary Predator Frame | Avatar Frame | Blue
30145 | c1750000 | Ultimate Predator Frame | Avatar Frame | Purple
30146 | c2750000 | Elite Predator Frame | Avatar Frame | Pink
30147 | c3750000 | Legendary Hunter Frame | Avatar Frame | Blue
30148 | c4750000 | Ultimate Hunter Frame | Avatar Frame | Purple
30149 | c5750000 | Elite Hunter Frame | Avatar Frame | Pink
30150 | c6750000 | Legendary Fighter Frame | Avatar Frame | Blue
30151 | c7750000 | Ultimate Fighter Frame | Avatar Frame | Purple
30152 | c8750000 | Elite Fighter Frame | Avatar Frame | Purple
30153 | c9750000 | Mechanized War Dragon Avatar | Achievement Avatar | Purple
30154 | ca750000 | Dream Idol Avatar | Achievement Avatar | Pink
30155 | cb750000 | Spooky Bear Avatar | Achievement Avatar | Pink
30156 | cc750000 | Noble Masquerader Frame | Avatar Frame | Purple
30157 | cd750000 | Ghillie Lion Frame | Avatar Frame | Purple
30158 | ce750000 | Pop Singer Frame | Avatar Frame | Purple
30159 | cf750000 | Blood Raven Frame | Avatar Frame | Pink
30160 | d0750000 | Pop Singer Avatar | Achievement Avatar | Purple
30161 | d1750000 | Red Battlecat Avatar | Achievement Avatar | Pink
30162 | d2750000 | Jester Gangster Avatar | Achievement Avatar | Pink
30163 | d3750000 | Neon Lord Frame | Avatar Frame | Purple
30164 | d4750000 | Speed Bunny Frame | Avatar Frame | Purple
30165 | d5750000 | Mechagodzilla Avatar | Achievement Avatar | Pink
30166 | d6750000 | Masked Wasp Avatar | Achievement Avatar | Pink
30167 | d7750000 | Godzilla Avatar Frame | Avatar Frame | Pink
30168 | d8750000 | Royal Butterfly Avatar Frame | Avatar Frame | Pink
30169 | d9750000 | Poseidon Avatar Frame | Avatar Frame | Pink
30170 | da750000 | Refreshing Summer Avatar | Achievement Avatar | Purple
30171 | db750000 | RP Avatar (M1) | Achievement Avatar | Pink
30172 | dc750000 | RP Avatar (M2) | Achievement Avatar | Pink
30173 | dd750000 | C1S1 Ace Dominator Avatar | Achievement Avatar | Pink
30174 | de750000 | Deep Sea Cyscout Avatar | Achievement Avatar | Pink
30175 | df750000 | Sunken Templar Avatar | Achievement Avatar | Pink
30176 | e0750000 | Cybernet Diva Avatar Frame | Avatar Frame | Pink
30177 | e1750000 | Azure Warrior Avatar Frame | Avatar Frame | Pink
30178 | e2750000 | RP Avatar (M3) | Achievement Avatar | Pink
30179 | e3750000 | C1S2 Ace Dominator Avatar | Achievement Avatar | Pink
30180 | e4750000 | RP Avatar (M4) | Achievement Avatar | Pink
30181 | e5750000 | RP Avatar (M5) | Achievement Avatar | Pink
30182 | e6750000 | RP Avatar (M6) | Achievement Avatar | Pink
30183 | e7750000 | Valor Champion Avatar | Achievement Avatar | Pink
30184 | e8750000 | Emerald Punk Avatar | Achievement Avatar | Pink
30185 | e9750000 | Lobster Avenger Avatar Frame | Avatar Frame | Pink
30186 | ea750000 | Nether Aristo Avatar Frame | Avatar Frame | Pink
30188 | ec750000 | C1S3 Ace Dominator Avatar | Achievement Avatar | Pink
30189 | ed750000 | RP Avatar (M7) | Achievement Avatar | Pink
30191 | ef750000 | Avalanche Avatar Frame | Avatar Frame | Pink
30192 | f0750000 | Snowflake Fairy Avatar | Achievement Avatar | Pink
30193 | f1750000 | Merry Tidings Avatar | Achievement Avatar | Pink
30194 | f2750000 | Shining Squad Avatar Frame | Avatar Frame | Pink
30195 | f3750000 | Wintry Ruler Avatar Frame | Avatar Frame | Pink
30196 | f4750000 | RP Avatar (M8) | Achievement Avatar | Pink
30197 | f5750000 | Major Grom Avatar | Achievement Avatar | Purple
30198 | f6750000 | PMGC 2021 | Avatar Frame | Purple
30199 | f7750000 | C2S4 - Ace Dominator Avatar | Achievement Avatar | Pink
30200 | f8750000 | Vintage Bard Avatar | Achievement Avatar | Pink
30201 | f9750000 | Dream Rancher Avatar | Achievement Avatar | Pink
30202 | fa750000 | Scarecrow Minstrel Avatar Frame | Avatar Frame | Pink
30203 | fb750000 | Classic Avatar | Achievement Avatar | Pink
30204 | fc750000 | Classic Avatar Frame | Avatar Frame | Pink
30205 | fd750000 | RP Avatar (M9) | Achievement Avatar | Pink
30206 | fe750000 | RP Avatar (M10) | Achievement Avatar | Pink
30207 | ff750000 | Golden Moon Avatar | Achievement Avatar | Purple
30208 | 00760000 | Cool Astronaut Avatar | Achievement Avatar | Purple
30209 | 01760000 | Cute Rabbit Avatar | Achievement Avatar | Purple
30210 | 02760000 | Cinco de Mayo Avatar | Achievement Avatar | Purple
30211 | 03760000 | C2S5 Ace Dominator Avatar | Achievement Avatar | Pink
30212 | 04760000 | Pakistan Day Avatar | Achievement Avatar | Purple
30213 | 05760000 | Masameer Trad Avatar | Achievement Avatar | Purple
30214 | 06760000 | Chroma Valkyrie Avatar | Achievement Avatar | Pink
30215 | 07760000 | Bunny Friends Avatar | Achievement Avatar | Pink
30216 | 08760000 | Aurora Flash Avatar Frame | Avatar Frame | Pink
30217 | 09760000 | Maniacal Baron Avatar Frame | Avatar Frame | Pink
30218 | 0a760000 | Saif Nabeel Avatar | Achievement Avatar | Purple
30219 | 0b760000 | Lamborghini Exclusive Avatar | Achievement Avatar | Purple
30220 | 0c760000 | RP Avatar (M11) | Achievement Avatar | Pink
30221 | 0d760000 | RP Avatar (M12) | Achievement Avatar | Pink
30222 | 0e760000 | Board Exam Avatar | Achievement Avatar | Purple
30223 | 0f760000 | C2S6 - Ace Dominator Avatar | Achievement Avatar | Pink
30224 | 10760000 | Dinosaur Era Avatar | Achievement Avatar | Purple
30225 | 11760000 | Nutcracker Avatar | Achievement Avatar | Purple
30226 | 12760000 | Survivor Island Avatar | Achievement Avatar | Purple
30227 | 13760000 | Fun Summer Avatar | Achievement Avatar | Purple
30228 | 14760000 | Homelander Avatar | Achievement Avatar | Purple
30229 | 15760000 | Starlight Avatar | Achievement Avatar | Purple
30230 | 16760000 | Soldier Boy Avatar | Achievement Avatar | Purple
30231 | 17760000 | Billy Butcher Avatar | Achievement Avatar | Purple
30232 | 18760000 | Sherlock Holmes Teddy Bear Avatar | Achievement Avatar | Purple
30233 | 19760000 | Robin Hood Teddy Bear Avatar | Achievement Avatar | Purple
30234 | 1a760000 | Kitten & Shiba Avatar | Achievement Avatar | Purple
30235 | 1b760000 | Amir Karara Avatar | Achievement Avatar | Purple
30236 | 1c760000 | Flamewraith Avatar | Achievement Avatar | Pink
30237 | 1d760000 | Majestic Cavalry Avatar | Achievement Avatar | Pink
30238 | 1e760000 | Underwraith Avatar Frame | Avatar Frame | Pink
30239 | 1f760000 | Swagger Lion Avatar Frame | Avatar Frame | Pink
30240 | 20760000 | RP Avatar (M13) | Achievement Avatar | Pink
30241 | 21760000 | RP Avatar (M14) | Achievement Avatar | Pink
30242 | 22760000 | C3S7 Ace Dominator Avatar | Achievement Avatar | Pink
30243 | 23760000 | Guardian Avatar | Achievement Avatar | Purple
30244 | 24760000 | Independence Day Avatar | Achievement Avatar | Purple
30245 | 25760000 | Gully Squad Avatar | Achievement Avatar | Purple
30246 | 26760000 | Back-to-School Avatar | Achievement Avatar | Purple
30247 | 27760000 | Classic Microphone Avatar | Achievement Avatar | Purple
30248 | 28760000 | Golden Mask Avatar | Achievement Avatar | Purple
30249 | 29760000 | Spiciness Meter Avatar | Achievement Avatar | Purple
30250 | 2a760000 | Team Victory Avatar | Achievement Avatar | Purple
30251 | 2b760000 | Lions of Mesopotamia Avatar | Achievement Avatar | Purple
30252 | 2c760000 | Bramble Overlord Avatar | Achievement Avatar | Pink
30253 | 2d760000 | Lightning Nebula Avatar | Achievement Avatar | Pink
30254 | 2e760000 | X-Anima Avatar Frame | Avatar Frame | Pink
30255 | 2f760000 | Aurelian Magnate Avatar Frame | Avatar Frame | Pink
30256 | 30760000 | Iridescence Avatar | Achievement Avatar | Pink
30257 | 31760000 | iQOO Avatar Frame | Avatar Frame | Purple
30258 | 32760000 | RP Avatar (M15) | Achievement Avatar | Pink
30259 | 33760000 | RP Avatar (M16) | Achievement Avatar | Pink
30260 | 34760000 | C3S8 Ace Dominator Avatar | Achievement Avatar | Pink
30261 | 35760000 | Spectral Swan Avatar | Achievement Avatar | Pink
30262 | 36760000 | Cosmic Inquisitor Avatar | Achievement Avatar | Pink
30263 | 37760000 | Violet Vengeance Avatar Frame | Avatar Frame | Pink
30264 | 38760000 | Clockwork Illusionist Avatar Frame | Avatar Frame | Pink
30265 | 39760000 | Championship Avatar | Achievement Avatar | Purple
30266 | 3a760000 | Golden Autumn Avatar | Achievement Avatar | Purple
30267 | 3b760000 | Celebration Avatar | Achievement Avatar | Purple
30268 | 3c760000 | GP Explorer Avatar | Achievement Avatar | Purple
30269 | 3d760000 | Inferno Sombrero Avatar | Achievement Avatar | Purple
30270 | 3e760000 | Karol G Avatar | Achievement Avatar | Purple
30271 | 3f760000 | RP Avatar (M17) | Achievement Avatar | Pink
30272 | 40760000 | RP Avatar (M18) | Achievement Avatar | Pink
30273 | 41760000 | Vamos Argentina Avatar | Achievement Avatar | Purple
30274 | 42760000 | Fire and Ice Avatar | Achievement Avatar | Purple
30275 | 43760000 | Football Star Avatar | Achievement Avatar | Purple
30276 | 44760000 | Go for Victory Avatar | Achievement Avatar | Purple
30277 | 45760000 | Together 4 More Avatar | Achievement Avatar | Purple
30278 | 46760000 | Warm Reunion Avatar | Achievement Avatar | Purple
30279 | 47760000 | C3S9 Ace Dominator Avatar | Achievement Avatar | Pink
30280 | 48760000 | First Warrior Avatar | Achievement Avatar | Purple
30281 | 49760000 | Timo Werner Avatar | Achievement Avatar | Purple
30282 | 4a760000 | Ice and Snow Avatar | Achievement Avatar | Purple
30283 | 4b760000 | Rising Stars Avatar | Achievement Avatar | Purple
30284 | 4c760000 | Starsea Admiral Avatar | Achievement Avatar | Pink
30285 | 4d760000 | Bloody Noon Avatar | Achievement Avatar | Pink
30286 | 4e760000 | Astral Arcanist Avatar Frame | Avatar Frame | Pink
30287 | 4f760000 | Conquering Soul Avatar Frame | Avatar Frame | Pink
30288 | 50760000 | RP Avatar (M19) | Achievement Avatar | Pink
30289 | 51760000 | RP Avatar (M20) | Achievement Avatar | Pink
30290 | 52760000 | C4S10 Ace Dominator Avatar | Achievement Avatar | Pink
30291 | 53760000 | C4S11 Ace Dominator Avatar | Achievement Avatar | Pink
30292 | 54760000 | Moondrop Eterna Avatar | Achievement Avatar | Pink
30293 | 55760000 | Bloodstained Nemesis Avatar | Achievement Avatar | Pink
30294 | 56760000 | Scarlet Phantom Avatar Frame | Avatar Frame | Pink
30295 | 57760000 | Nightingale Dancer Avatar Frame | Avatar Frame | Pink
30296 | 58760000 | Crimson Ephialtes Avatar | Achievement Avatar | Pink
30297 | 59760000 | Noctum Sunder Avatar | Achievement Avatar | Pink
30298 | 5a760000 | Crimson Ephialtes Avatar Frame | Avatar Frame | Pink
30299 | 5b760000 | Noctum Sunder Avatar Frame | Avatar Frame | Pink
30300 | 5c760000 | Shackled Horns Avatar Frame | Avatar Frame | Pink
30301 | 5d760000 | Dino Dream Avatar Frame | Avatar Frame | Pink
30302 | 5e760000 | Dandy Groovster Avatar Frame | Avatar Frame | Pink
30303 | 5f760000 | Wrathful Neptune Avatar Frame | Avatar Frame | Pink
30304 | 60760000 | Dandy Groovster Avatar | Achievement Avatar | Pink
30305 | 61760000 | Wrathful Neptune Avatar | Achievement Avatar | Pink
30306 | 62760000 | Tealara Maiden Avatar Frame | Avatar Frame | Pink
30307 | 63760000 | Icy Bliss Avatar Frame | Avatar Frame | Pink
30308 | 64760000 | Ultimate Fashion Avatar | Achievement Avatar | Gold
30309 | 65760000 | Ultimate Fashion Avatar Frame | Avatar Frame | Gold
